NGRAM,NCOUNT,LEN,WCOUNT,MASKED,IMPORTANCE,REDUNDANT
ულ-ქართული,4,10,122728,ულ-kარtული,490912,False
ლ-ქართული>,4,10,122728,ლ-kარtული>,490912,False
ეოლოგიური>,6,10,61491,ეოლოგიური>,368946,False
ურ-ქართული,3,10,92046,ურ-kარtული,276138,False
რ-ქართული>,3,10,92046,რ-kარtული>,276138,False
ოგრაფიული>,7,10,30954,ოგრაpიული>,216678,False
<ლექსიკონი,3,10,61981,<ლეkსიkონი,185943,False
<ტერმინოლო,3,10,61383,<tერმინოლო,184149,False
ტერმინოლოგ,3,10,61383,tერმინოლოგ,184149,False
ერმინოლოგი,3,10,61383,ერმინოლოგი,184149,False
<განმარტებ,4,10,30786,<განმარtებ,123144,False
<საქართველ,2,10,61390,<საkარtველ,122780,False
საქართველო,2,10,61390,საkარtველო,122780,False
<ტერმინები,2,10,61367,<tერმინები,122734,False
ლექსიკონი>,2,10,61365,ლეkსიkონი>,122730,False
ნულ-ქართულ,2,10,61364,ნულ-kარtულ,122728,False
<ფსევდონიმ,3,10,30726,<pსევდონიმ,92178,False
<მეტალურგი,3,10,30715,<მეtალურგი,92145,False
ინგლისური>,2,10,30778,ინგლისური>,61556,False
ტექნიკური>,2,10,30755,tეkნიkური>,61510,False
იოლოგიური>,2,10,30740,იოლოგიური>,61480,False
ნციკლოპედი,2,10,30718,ნcიkლოpედი,61436,False
ენციკლოპედ,2,10,30718,ენcიkლოpედ,61436,False
<ენციკლოპე,2,10,30718,<ენcიkლოpე,61436,False
<პოლიტიკურ,2,10,30700,<pოლიtიkურ,61400,False
რქეოლოგიურ,2,10,30698,რkეოლოგიურ,61396,False
არქეოლოგიუ,2,10,30698,არkეოლოგიუ,61396,False
ფსევდონიმე,2,10,30697,pსევდონიმე,61394,False
ქეოლოგიური,2,10,30695,kეოლოგიური,61390,False
თეოლოგიური,2,10,30694,tეოლოგიური,61388,False
<მეცნიერებ,2,10,6896,<მეcნიერებ,13792,False
წინააღმდეგ,14,10,467,cინააგმდეგ,6538,False
კმაყოფილებ,10,10,297,kმაყოpილებ,2970,False
თავისუფლებ,7,10,403,tავისუpლებ,2821,False
ინააღმდეგო,9,10,301,ინააგმდეგო,2709,False
<ვარსკვლავ,6,10,337,<ვარსkვლავ,2022,False
წონასწორებ,7,10,252,cონასcორებ,1764,False
ელექტრული>,5,10,352,ელეktრული>,1760,False
წინასწარმე,7,10,221,cინასcარმე,1547,False
ინასწარმეტ,7,10,215,ინასcარმეt,1505,False
ნასწარმეტყ,7,10,215,ნასcარმეtყ,1505,False
<წინააღმდე,7,10,202,<cინააგმდე,1414,False
მიმართულებ,7,10,195,მიმარtულებ,1365,False
<მიმართულე,7,10,191,<მიმარtულე,1337,False
<მემკვიდრე,7,10,190,<მემkვიდრე,1330,False
დინამიკური,5,10,261,დინამიkური,1305,False
